GEOID,place_name,prop_white,med_income_k
04013614800,"Phoenix, AZ",0.716,50.043
04013614900,"Phoenix, AZ",0.7509999999999999,71.02600000000002
04013615000,"Phoenix, AZ",0.812,104.182
04013615100,"Phoenix, AZ",0.873,103.188
04013615200,"Phoenix, AZ",0.8290000000000001,75.093
04013616000,"Phoenix, AZ",0.688,68.333
04013616100,"Phoenix, AZ",0.6779999999999999,62.181
04013616200,"Phoenix, AZ",0.7440000000000001,69.107
04013616300,"Phoenix, AZ",0.696,64.688
04013616400,"Phoenix, AZ",0.593,51.995
04013616500,"Phoenix, AZ",0.599,48.494
04013616600,"Phoenix, AZ",0.731,56.625
04013616700,"Phoenix, AZ",0.787,59.04
04013616800,"Phoenix, AZ",0.75,55.345
04013616900,"Phoenix, AZ",0.8270000000000001,52.159
04013617000,"Phoenix, AZ",0.7709999999999999,50.015
04013617100,"Phoenix, AZ",0.826,75.542
04013617200,"Phoenix, AZ",0.848,79.375
04013617300,"Phoenix, AZ",0.747,72.452
04013618000,"Phoenix, AZ",0.757,65.905
04013618100,"Phoenix, AZ",0.8,65.295
04013618200,"Phoenix, AZ",0.727,48.75
04013618300,"Phoenix, AZ",0.7809999999999999,70.865
04013618400,"Phoenix, AZ",0.667,40.703
04013618500,"Phoenix, AZ",0.68,38.5
04013618600,"Phoenix, AZ",0.667,41.549
04013618700,"Phoenix, AZ",0.69,49.185
04013618800,"Phoenix, AZ",0.578,29.648000000000003
04013618900,"Phoenix, AZ",0.768,43.422
04013619000,"Phoenix, AZ",0.838,45.102
04013619100,"Phoenix, AZ",0.591,30.0
04013619200,"Phoenix, AZ",0.48700000000000004,31.272
04013619300,"Phoenix, AZ",0.75,37.955
04013619400,"Phoenix, AZ",0.62,42.264
04013619500,"Phoenix, AZ",0.669,60.94300000000001
04013619600,"Phoenix, AZ",0.7,59.191
04013619700,"Phoenix, AZ",0.672,53.699
04013619800,"Phoenix, AZ",0.6890000000000001,61.2
04013619900,"Phoenix, AZ",0.825,103.086
06037101110,"Los Angeles, CA",0.5589999999999999,49.006
06037101122,"Los Angeles, CA",0.6759999999999999,116.4
06037101210,"Los Angeles, CA",0.395,39.43
06037101220,"Los Angeles, CA",0.537,38.75
06037101300,"Los Angeles, CA",0.765,82.354
06037101400,"Los Angeles, CA",0.644,61.28100000000001
06037102103,"Los Angeles, CA",0.701,69.375
06037102104,"Los Angeles, CA",0.6809999999999999,78.665
06037102105,"Los Angeles, CA",0.231,46.429
06037102107,"Los Angeles, CA",0.555,53.409
06037103101,"Los Angeles, CA",0.574,69.97800000000001
06037103102,"Los Angeles, CA",0.564,70.733
06037103200,"Los Angeles, CA",0.48100000000000004,54.697
06037103300,"Los Angeles, CA",0.748,88.542
06037103400,"Los Angeles, CA",0.6409999999999999,63.867
06037104103,"Los Angeles, CA",0.05,69.138
06037104105,"Los Angeles, CA",0.049,41.029
06037104108,"Los Angeles, CA",0.039,41.591
06037104124,"Los Angeles, CA",0.3,78.811
06037104201,"Los Angeles, CA",0.002,48.993
06037104203,"Los Angeles, CA",0.008,43.75
06037104204,"Los Angeles, CA",0.122,52.917
06037104310,"Los Angeles, CA",0.01,56.198
06037104320,"Los Angeles, CA",0.024,44.25
06037104401,"Los Angeles, CA",0.006999999999999999,65.536
06037104403,"Los Angeles, CA",0.04,46.122
06037104404,"Los Angeles, CA",0.038,51.477
06037104500,"Los Angeles, CA",0.039,49.375
06037104610,"Los Angeles, CA",0.017,39.196
06037104620,"Los Angeles, CA",0.013999999999999999,43.93600000000001
06037104701,"Los Angeles, CA",0.002,24.762
06037104703,"Los Angeles, CA",0.013000000000000001,33.333
06037104704,"Los Angeles, CA",0.049,52.825
06037104810,"Los Angeles, CA",0.027999999999999997,58.542
06037104821,"Los Angeles, CA",0.028999999999999998,48.0
06037104822,"Los Angeles, CA",0.037000000000000005,42.684
06037106010,"Los Angeles, CA",0.249,77.021
06037106020,"Los Angeles, CA",0.12300000000000001,69.602
06037106111,"Los Angeles, CA",0.273,82.18799999999997
06037106112,"Los Angeles, CA",0.14300000000000002,75.32300000000002
06037106113,"Los Angeles, CA",0.15,70.189
06037106114,"Los Angeles, CA",0.1,42.5
06037106403,"Los Angeles, CA",0.092,60.172
06037106405,"Los Angeles, CA",0.11699999999999999,44.43600000000001
06037106406,"Los Angeles, CA",0.177,68.939
06037106407,"Los Angeles, CA",0.19899999999999998,35.694
