GEOID,land_area,total_pop,median_age
04013108602,1770566,4363.0,32.7
04013108802,1027484,1802.0,42.5
04013108901,1036955,2966.0,35.8
04013108902,1504391,4655.0,33.3
04013109001,650541,5222.0,24.8
04013109002,942940,4259.0,24.4
04013109003,957414,5711.0,25.6
04013109101,1286000,3466.0,30.6
04013109102,1281314,5629.0,24.4
04013109200,2597087,3827.0,28.6
04013109300,2561519,4801.0,24.5
04013109400,2627301,7381.0,27.2
04013109500,2479942,5377.0,31.4
04013109601,1231152,5477.0,26.8
04013109602,1490061,6493.0,24.9
04013109603,1331560,5129.0,24.4
04013109604,1077980,3949.0,27.2
04013109701,1292842,8039.0,24.8
04013109702,1405622,5457.0,25.1
04013109703,1293222,2939.0,29.7
04013109704,608759,3047.0,25.6
04013109705,560707,1970.0,26.1
04013109801,1219660,4080.0,23.2
04013109802,1302036,4824.0,29.1
04013109900,2604883,7051.0,25.6
04013110001,1384345,3961.0,27.7
04013110002,1169245,3923.0,30.8
04013110100,2573752,6801.0,25.9
04013110400,2497055,5089.0,38.2
04013110501,1414636,3029.0,35.2
04013110502,1310115,2577.0,36.8
04013110600,2599370,4226.0,40.4
04013110701,809324,2431.0,32.5
04013110702,1780325,3550.0,36.4
04013110801,1296655,4826.0,34.2
04013110802,1306660,2269.0,38.0
04013110901,1328209,3211.0,42.4
04013110902,1321731,5223.0,33.9
04013111000,2624346,4671.0,40.2
04013111100,3162977,4110.0,38.3
04013111201,1912022,5720.0,31.3
04013111202,895521,1543.0,27.2
04013111203,408181,1456.0,29.1
04013111204,6570748,2150.0,27.9
04013111300,2621014,5285.0,34.1
04013111401,1325311,5005.0,29.3
04013111402,1316507,4202.0,32.7
04013111501,701867,1956.0,23.8
04013111502,1891517,6194.0,32.6
04013111601,1301278,3158.0,38.2
04013111602,1301777,4848.0,25.2
04013111700,2603480,5676.0,33.8
04013111800,2654770,3705.0,43.7
04013111900,2540085,2380.0,40.4
04013112100,2590522,4099.0,24.3
04013112201,1453063,3871.0,30.1
04013112202,1136736,4377.0,33.6
04013112301,1309388,5412.0,27.1
04013112302,1285103,7569.0,24.7
04013112401,1304314,6979.0,25.2
04013112402,1299464,5187.0,26.0
04013112502,1268294,6256.0,20.6
04013112503,2596628,8449.0,27.3
04013112504,1264266,3829.0,24.6
04013112505,2506628,8743.0,24.3
04013112507,1246190,2648.0,22.6
04013112508,1945048,2042.0,31.4
04013112509,5603665,8694.0,22.9
04013112510,10290011,4585.0,25.3
04013112511,11056325,6981.0,27.9
04013112512,11698869,1817.0,25.8
04013112513,7772235,8306.0,26.6
04013112514,21868053,4379.0,26.0
04013112601,721053,2752.0,26.0
04013112602,1880498,7418.0,25.8
04013112700,2589107,6109.0,25.5
04013112900,2601456,4794.0,35.2
04013113000,1274355,1883.0,36.3
04013113100,1304207,2627.0,39.8
04013113201,648711,2870.0,25.0
04013113202,674689,2124.0,27.9
04013113203,1265032,2368.0,31.9
04013113300,2590335,5619.0,26.9
04013113501,1280122,4111.0,31.2
04013113502,638469,2649.0,24.8
04013113601,1550262,4057.0,24.2
04013113602,1059945,3626.0,22.7
04013113700,2495122,7587.0,27.3
04013113801,5302514,1902.0,29.9
04013113900,2665414,1040.0,18.9
04013114000,2617580,1897.0,27.8
04013114100,1305069,1828.0,34.1
04013114200,1283910,1483.0,35.4
04013114301,1333637,1308.0,41.4
04013114302,1305757,2730.0,24.7
04013114401,1387781,1938.0,35.1
04013114402,1200491,1821.0,32.2
04013114500,2541461,3798.0,26.7
04013114600,2581403,2044.0,23.4
04013114703,2593250,5382.0,30.5
04013114800,5240139,3545.0,30.6
04013114900,2815999,2769.0,32.0
04013115200,7144082,2653.0,25.2
04013115300,4100050,2915.0,25.9
04013115400,2515074,2634.0,25.6
04013115500,2598908,3789.0,27.6
04013115600,2552662,4759.0,21.9
04013115700,2588063,6474.0,24.3
04013115801,1299694,4516.0,24.4
04013115802,1288097,3461.0,31.4
04013115900,2569302,5110.0,27.5
04013116000,2480171,4789.0,35.8
04013116100,2417069,3997.0,24.2
04013116202,1446596,5173.0,27.8
04013116203,7958865,4599.0,28.5
04013116204,2583087,3332.0,31.5
04013116205,1140808,4945.0,28.0
04013116300,2687775,6869.0,29.4
04013116400,2625225,5838.0,26.6
04013116500,2586582,5267.0,28.9
04013116602,2579308,8612.0,25.3
04013116603,6532423,6367.0,29.4
04013116604,2550375,4065.0,23.8
04013116605,2581154,5230.0,26.9
04013116606,2577690,6431.0,27.1
04013116607,2583291,2943.0,23.7
04013116608,6855576,3345.0,30.2
04013116609,7861094,3702.0,34.2
04013116610,5050416,5341.0,29.5
04013116611,12657211,3611.0,35.4
04013116612,7769305,5268.0,29.7
04013116613,7727811,5931.0,33.2
04013116702,3543892,7708.0,32.6
04013116703,3496825,4038.0,39.8
04013116704,7882102,7023.0,35.8
04013116707,1325654,2640.0,44.6
04013116708,3430311,5334.0,55.4
04013116709,1175587,1828.0,34.2
04013116710,3760745,4410.0,43.8
04013116711,1109767,2014.0,33.0
04013116712,3802547,6475.0,33.4
04013116713,2416246,6258.0,40.9
04013116714,2708616,3771.0,38.4
04013116715,921580,1987.0,43.4
04013116717,1109042,4060.0,30.6
04013116718,993663,2807.0,30.7
04013116719,3424841,6855.0,39.1
04013116720,1770156,3720.0,34.7
04013116721,2295742,3617.0,38.5
04013116725,4158254,4914.0,44.8
04013116727,4556247,3766.0,43.4
04013116728,5703862,4836.0,43.2
04013116729,3749386,4313.0,43.9
04013116730,4413392,1954.0,37.2
04013116731,3285446,3250.0,37.0
04013116732,6728066,3453.0,35.9
04013116733,65531099,330.0,43.8
04013116800,5226378,2701.0,37.0
04013116900,3171281,2284.0,25.1
04013117000,1924559,5801.0,31.1
04013117100,1594700,2809.0,34.2
04013117200,6624814,1330.0,26.5
04013117300,8068228,1222.0,22.0
04013217300,2480676,2920.0,50.6
04013217400,2181795,3405.0,53.8
04013319703,2751800,4419.0,30.8
04013320100,4887143,2707.0,27.8
04013610000,321108402,7621.0,38.3
04013610100,21772813,1008.0,47.7
04013610600,9179750,5232.0,34.0
04013610800,52205449,3742.0,33.3
04013611200,4893757,5708.0,38.9
04013611300,56129965,4656.0,31.3
04013611400,5359091,6223.0,37.9
04013611500,5610088,6422.0,34.2
04013611600,4476768,3187.0,39.8
04013611700,7568910,5853.0,44.7
04013611800,2577145,7083.0,34.1
04013611900,10564451,2831.0,30.1
04013612000,14696687,2537.0,36.8
04013612200,22974671,3896.0,36.4
04013612300,23251976,8491.0,28.4
04013612400,55860183,7126.0,33.6
04013612500,6822790,4467.0,41.0
04013612600,1327101,2043.0,47.6
04013612700,2288890,2343.0,46.0
04013612800,2193743,2176.0,41.9
04013612900,2475516,2389.0,39.2
04013613000,10260211,3525.0,48.2
04013613300,37909225,7655.0,41.2
04013614200,5123251,4930.0,43.1
04013614300,12409440,2825.0,50.2
04013614400,2249772,3400.0,43.5
04013614500,3535941,4396.0,35.3
04013614600,3382352,6354.0,32.8
04013614700,14918046,2469.0,39.2
04013614800,1973896,4348.0,33.7
04013614900,5699346,3568.0,34.5
04013615000,15250099,7948.0,37.1
04013615100,2254774,3744.0,36.1
04013615200,26764980,5884.0,39.2
04013616000,2511190,1939.0,28.1
04013616100,1387843,3502.0,32.0
04013616200,1227918,3396.0,35.3
04013616300,2683259,1941.0,38.1
04013616400,3039170,5256.0,32.7
04013616500,2012363,3181.0,29.8
04013616600,2537641,6066.0,33.8
04013616700,2475485,4297.0,35.8
04013616800,2469400,5883.0,35.4
04013616900,2753677,4587.0,37.1
04013617000,3998321,6105.0,38.4
04013617100,977412,2241.0,36.2
04013617200,959868,2793.0,37.5
04013617300,1165368,3342.0,35.5
04013618000,2784453,4849.0,36.0
04013618100,2694157,4139.0,44.8
04013618200,1305209,3762.0,35.1
04013618300,1413808,3047.0,38.3
04013618400,1488787,3708.0,38.2
04013618500,1507495,3926.0,34.5
04013618600,2295574,4487.0,35.4
04013618700,1258865,2952.0,35.3
04013618800,1258101,4857.0,31.3
04013618900,2571784,6241.0,36.9
04013619000,1289387,3030.0,46.6
04013619100,326526,2783.0,29.0
04013619200,969174,5442.0,28.5
04013619300,1309964,4106.0,37.1
04013619400,1295293,4520.0,31.0
04013619500,2588572,5977.0,34.8
04013619600,2578786,2042.0,36.2
04013619700,1408302,4068.0,37.6
04013619800,1416460,4565.0,36.9
04013619900,3437759,5461.0,42.2
06037101110,1142405,4898.0,40.7
06037101122,2644040,3491.0,46.8
06037101210,650690,6216.0,31.4
06037101220,698971,2830.0,42.6
06037101300,2581127,4267.0,45.4
06037101400,6310053,4305.0,43.6
06037102103,1186476,1947.0,47.0
06037102104,1658563,3344.0,42.7
06037102105,492761,1880.0,30.5
06037102107,12908569,3793.0,48.8
06037103101,2029809,2964.0,42.1
06037103102,1241029,4733.0,37.7
06037103200,7414589,6289.0,44.7
06037103300,6141943,3311.0,47.5
06037103400,2500754,6908.0,41.1
06037104103,949109,3814.0,33.4
06037104105,584675,5871.0,28.0
06037104108,1096681,5076.0,30.2
06037104124,4479807,4227.0,40.1
06037104201,1090103,4591.0,28.8
06037104203,707954,4830.0,27.4
06037104204,2664692,3438.0,35.1
06037104310,1508622,5028.0,32.1
06037104320,1212162,5868.0,30.5
06037104401,681117,3509.0,29.3
06037104403,693083,2851.0,32.8
06037104404,539620,2845.0,30.8
06037104500,531002,2906.0,30.2
06037104610,592138,3553.0,29.9
06037104620,531171,3421.0,30.1
06037104701,550502,3836.0,22.8
06037104703,1169842,2138.0,25.9
06037104704,1662660,4357.0,27.9
06037104810,1123357,5729.0,31.6
06037104821,531802,3290.0,29.3
06037104822,604352,2228.0,33.5
06037106010,2517817,2924.0,37.4
06037106020,2010765,6499.0,33.0
06037106111,3813566,4582.0,40.7
06037106112,3228612,6026.0,35.5
06037106113,1438283,3560.0,34.5
06037106114,1011117,5729.0,30.7
06037106403,1105659,3258.0,35.8
06037106405,1171699,3377.0,33.6
06037106406,2085947,5289.0,36.4
06037106407,232127,2670.0,34.9
06037106408,229094,3769.0,24.3
06037106510,5708877,5274.0,31.4
06037106520,2205882,5672.0,33.3
06037106603,15309979,3310.0,41.3
06037106604,2611562,4785.0,30.8
06037106641,1135493,2176.0,45.7
06037106642,1577594,3323.0,42.4
06037106643,4332690,4452.0,44.7
06037106645,2527931,3499.0,44.6
06037106646,1476213,3505.0,44.6
06037106648,792930,4348.0,28.2
06037106649,1112672,2605.0,37.9
06037107010,684680,3175.0,34.4
06037107020,994796,5150.0,33.9
06037108101,1128632,2330.0,50.8
06037108102,2183816,3727.0,42.7
06037108103,2563870,3289.0,48.3
06037108104,826020,1861.0,42.7
06037108201,2805114,5695.0,43.4
06037108202,5996865,5891.0,40.9
06037109100,2705895,2377.0,47.1
