GEOID,place_name,land_area,total_pop,median_age,prop_65_older,prop_hispanic,prop_white,prop_black,prop_asian,prop_male,prop_single_fam_detached,med_rooms_in_house,prop_built_before_1940,prop_renting,count_renter_occupied_units,rental_vacancy_rate,renter_household_size,mean_travel_time_work,prop_commute_drive_alone,prop_below_poverty,prop_college_grad_student,prop_nonrelatives_household,prop_same_residence_year_ago,prop_bachelors_or_higher,prop_english_only,prop_foreign_born,distance_to_center_km,pop_density_k_km,renter_occupied_units_km,prop_20_34,prop_burden,median_gross_rent_k,med_income_k,med_home_value_k,prop_white_change_2012_2015
01073004500,"Birmingham, AL",3020204,4231.0,20.6,0.029,0.026,0.394,0.49,0.071,0.467,0.006999999999999999,3.2,0.07200000000000001,0.923,1166.0,0.06,1.71,15.0,0.563,0.64,0.934,0.116,0.574,0.34700000000000003,0.92,0.077,1.6525494115530712,1.4008987472369414,386.0666365583252,0.4040000000000001,0.604,0.536,14.610999999999999,194.3,-0.04299999999999997
01073004701,"Birmingham, AL",1124486,3839.0,32.5,0.12,0.084,0.8170000000000001,0.046,0.046,0.508,0.128,3.7,0.402,0.721,1719.0,0.058,1.5,13.9,0.8740000000000001,0.162,0.833,0.207,0.6829999999999999,0.62,0.908,0.116,2.7006151569480608,3.4140042650597686,1528.698445334135,0.505,0.349,0.754,45.065,189.1,0.047999999999999966
01073004702,"Birmingham, AL",2542342,3314.0,43.0,0.157,0.012,0.9,0.078,0.002,0.481,0.5870000000000001,6.1,0.457,0.329,574.0,0.0,1.64,16.3,0.821,0.142,0.379,0.065,0.8109999999999999,0.774,0.956,0.037000000000000005,3.8129753261723183,1.3035225001199682,225.7760757600669,0.212,0.5009999999999999,0.72,69.788,400.3,-0.025
01073004800,"Birmingham, AL",1253859,2015.0,47.8,0.254,0.036000000000000004,0.848,0.073,0.023,0.529,0.309,4.2,0.287,0.556,672.0,0.11,1.31,14.5,0.883,0.096,0.623,0.073,0.8370000000000001,0.557,0.951,0.04,3.3001013792304503,1.6070387499710892,535.9454292707553,0.221,0.466,0.6920000000000001,43.281000000000006,594.8,-0.05100000000000009
01073004901,"Birmingham, AL",959213,1090.0,36.6,0.115,0.03,0.738,0.15,0.083,0.578,0.14,3.3,0.371,0.83,712.0,0.029,1.14,12.7,0.708,0.17800000000000002,0.988,0.06,0.6679999999999999,0.526,0.857,0.121,2.8669659283614566,1.1363482354805452,742.2751776716956,0.46,0.368,0.653,34.891,254.5,0.03
01073004902,"Birmingham, AL",1148589,3135.0,30.4,0.046,0.093,0.6609999999999999,0.134,0.08199999999999999,0.5,0.251,4.1,0.374,0.7609999999999999,1296.0,0.085,1.7,16.1,0.637,0.316,0.8370000000000001,0.17,0.55,0.555,0.838,0.13699999999999998,2.8411452993879034,2.7294358556454914,1128.3409470228253,0.52,0.508,0.6970000000000001,31.636,146.8,0.09799999999999998
01073005000,"Birmingham, AL",2422849,3319.0,30.2,0.045,0.268,0.489,0.2,0.029,0.501,0.39,4.5,0.231,0.733,1048.0,0.237,2.42,19.9,0.807,0.238,0.698,0.189,0.6729999999999999,0.411,0.731,0.247,3.5506271223267767,1.3698748869615895,432.5486235419542,0.4590000000000001,0.524,0.7440000000000001,35.293,153.1,0.131
01073005101,"Birmingham, AL",743007,1896.0,26.5,0.08800000000000001,0.011,0.004,0.981,0.0,0.35,0.279,4.5,0.15,0.89,646.0,0.141,2.56,24.2,0.7040000000000001,0.581,0.14800000000000002,0.049,0.723,0.04,0.986,0.011,3.4743423290898185,2.5517929171595957,869.4399918170353,0.191,0.579,0.484,14.602,56.7,-0.008
01073005103,"Birmingham, AL",1738959,2975.0,39.9,0.231,0.115,0.08,0.743,0.0,0.463,0.93,5.9,0.03,0.337,436.0,0.0,2.56,19.3,0.8240000000000001,0.304,0.303,0.033,0.883,0.284,0.909,0.049,4.167997066214404,1.7107936414832092,250.7247151887997,0.14600000000000002,0.86,0.746,29.125,91.4,-0.021
01073005104,"Birmingham, AL",1811281,4100.0,25.7,0.021,0.193,0.177,0.599,0.001,0.439,0.092,4.0,0.0,0.913,1619.0,0.117,2.38,19.0,0.865,0.3670000000000001,0.516,0.157,0.506,0.218,0.797,0.171,5.556197286209377,2.263591347780935,893.8425346481301,0.461,0.495,0.784,28.95,58.5,0.044
01073005200,"Birmingham, AL",4595599,3556.0,45.0,0.213,0.0,0.0,0.978,0.0,0.488,0.9,5.6,0.191,0.28600000000000003,440.0,0.118,2.45,22.5,0.794,0.335,0.166,0.028,0.8959999999999999,0.168,0.976,0.0,5.623868129899851,0.7737837874888562,95.74377572977971,0.135,0.613,0.6659999999999999,25.25,68.1,-0.01
01073005302,"Birmingham, AL",5024539,3601.0,45.6,0.156,0.0,0.467,0.504,0.002,0.5,1.0,6.4,0.036000000000000004,0.112,165.0,0.225,2.67,29.1,0.8270000000000001,0.1,0.123,0.053,0.8809999999999999,0.251,0.997,0.006,12.372304960052581,0.7166826648176081,32.838833572592435,0.1,0.615,1.2,44.196000000000005,116.8,0.015
01073005500,"Birmingham, AL",8804184,2336.0,33.6,0.117,0.026,0.245,0.72,0.0,0.508,0.728,5.5,0.133,0.513,407.0,0.067,3.43,18.4,0.802,0.499,0.184,0.049,0.856,0.035,0.978,0.006,5.966948971442036,0.2653283938636448,46.22802067744155,0.179,0.547,0.603,21.666999999999998,53.2,0.102
01073005600,"Birmingham, AL",4275124,4788.0,39.3,0.235,0.004,0.8320000000000001,0.147,0.0,0.399,0.742,5.4,0.013,0.4320000000000001,996.0,0.093,2.15,18.4,0.942,0.222,0.556,0.07,0.7829999999999999,0.44,0.981,0.016,7.785884687895182,1.1199675143925651,232.97569848266392,0.29100000000000004,0.573,1.095,48.897,191.3,0.020999999999999942
01073005701,"Birmingham, AL",3265322,2576.0,39.8,0.136,0.006,0.014,0.98,0.0,0.423,0.906,5.7,0.133,0.38,405.0,0.165,2.48,22.4,0.818,0.242,0.182,0.034,0.782,0.118,0.978,0.008,9.6419801043792,0.7888961639924027,124.03064690097945,0.206,0.708,0.767,30.44,52.6,-0.009999999999999998
